locationName,permitNumber,receivingWaterCourse,x,y,alertStatus,statusChanged,mostRecentDischargeAlertStart,mostRecentDischargeAlertStop,alertPast48Hours
"Portsmouth Road, Uxbridge Road",TEMP.2843,River Thames,517670,168010,Not discharging,2025-10-31T20:58:00,2025-10-31T19:32:00,2025-10-31T20:58:00,False
Kingston Main,TEMP.1273,River Thames,517800,169600,Not discharging,2024-05-17T14:30:00,2023-12-11T11:00:00,2023-12-11T11:30:00,False
