date,rainfall_mm
2014-01-26,7.9
2014-01-27,3.53
2014-01-28,1.43
2014-01-29,9.3
2014-01-30,0.0
2014-01-31,14.63
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.46
2014-02-04,16.35
2014-02-05,2.99
2014-02-06,24.47
2014-02-07,5.4
2014-02-08,1.64
2014-02-09,0.09
2014-02-10,2.44
2014-02-11,3.41
2014-02-12,6.83
2014-02-13,0.88
2014-02-14,16.64
2014-02-15,0.39
2014-02-16,0.0
2014-02-17,5.23
2014-02-18,3.54
2014-02-19,1.03
2014-02-20,0.66
2014-02-21,0.0
2014-02-22,0.18
2014-02-23,0.09
2014-02-24,2.47
2014-02-25,5.63
2014-02-26,3.06
2014-02-27,6.34
2014-02-28,1.57
2014-03-01,0.0
2014-03-02,8.35
2014-03-03,0.97
2014-03-04,0.0
2014-03-05,0.0
2014-03-06,0.0
2014-03-07,0.09
2014-03-08,0.0
2014-03-09,0.0
2014-03-10,0.0
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,0.0
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,0.0
2014-03-18,0.0
2014-03-19,0.0
2014-03-20,3.11
2014-03-21,2.35
2014-03-22,0.0
2014-03-23,1.58
2014-03-24,4.17
2014-03-25,1.18
2014-03-26,2.38
2014-03-27,0.48
2014-03-28,0.09
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,0.09
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,2.84
2014-04-06,2.0
2014-04-07,3.96
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,13.43
2014-04-21,15.7
2014-04-22,0.68
2014-04-23,2.19
2014-04-24,7.05
2014-04-25,14.68
2014-04-26,3.39
2014-04-27,1.67
2014-04-28,0.0
2014-04-29,13.49
2014-04-30,2.1
2014-05-01,8.34
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.62
2014-05-06,1.89
2014-05-07,0.61
2014-05-08,1.83
2014-05-09,3.44
2014-05-10,3.31
2014-05-11,0.0
2014-05-12,3.16
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,7.54
2014-05-22,5.17
2014-05-23,14.16
2014-05-24,2.83
2014-05-25,2.73
2014-05-26,8.69
2014-05-27,6.58
2014-05-28,0.05
2014-05-29,3.57
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,0.09
2014-06-02,0.43
2014-06-03,2.84
2014-06-04,1.89
